PROJECT_ID,MANAGED_BY,PRODUCT_GROUP,FULFILL_VIA,PQ_FIRST_SENT_TO_CLIENT_DATE,SUB_CLASSIFICATION
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ANTM,Direct Drop,Pre-PQ Process,Malaria
113-ZW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ACT,Direct Drop,Pre-PQ Process,ACT
112-NG-T01,PMO - US,ACT,Direct Drop,Pre-PQ Process,ACT
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
123-NG-T01,PMO - US,ACT,Direct Drop,Pre-PQ Process,ACT
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ACT,Direct Drop,Pre-PQ Process,ACT
111-MZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test - Ancillary
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
113-ZW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
117-ET-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
109-TZ-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
109-TZ-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
107-RW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
102-GY-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
106-HT-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
102-KE-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
133-NG-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
139-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
100-BW-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
108-VN-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Adult
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
116-ZA-T01,PMO - US,ARV,Direct Drop,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
119-NA-T01,PMO - US,HRDT,Direct Drop,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
113-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
113-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
105-GY-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
119-NA-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
125-HT-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
102-BW-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
107-RW-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test - Ancillary
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
105-GY-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-PK-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
131-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
119-NA-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
102-KE-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
102-KE-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
123-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
102-KE-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
125-HT-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
125-HT-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
119-NA-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test - Ancillary
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
119-NA-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
123-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
113-ZW-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
126-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
131-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
131-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
130-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
130-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
151-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
130-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
123-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
151-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
102-KE-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
151-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
151-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
151-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-SZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-SZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
100-GH-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
123-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
106-HT-T01,PMO - US,ARV,From RDC,Date Not Captured,Pediatric
106-HT-T01,PMO - US,ARV,From RDC,Date Not Captured,Pediatric
114-UG-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
114-UG-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Pediatric
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
104-CI-T01,PMO - US,ARV,From RDC,Date Not Captured,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
107-RW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
100-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
113-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
120-AO-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
107-RW-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
107-RW-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
102-NG-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
105-GY-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
109-TZ-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
104-CI-T01,PMO - US,HRDT,From RDC,Pre-PQ Process,HIV test
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
112-NG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
111-MZ-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
114-UG-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
110-ZM-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
104-CI-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
117-ET-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
100-ZW-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Adult
106-HT-T01,PMO - US,ARV,From RDC,Pre-PQ Process,Pediatric
